"Step","flowing-butterfly-4 - CL","flowing-butterfly-4 - CL__MIN","flowing-butterfly-4 - CL__MAX"
"50","10","10","10"
"101","10","10","10"
"152","10","10","10"
"203","10","10","10"
"254","10","10","10"
"305","10","10","10"
"356","10","10","10"
"407","10","10","10"
"458","10","10","10"
"509","10","10","10"
"560","10","10","10"
"611","10","10","10"
"662","10","10","10"
"713","10","10","10"
"764","10","10","10"
"815","10","10","10"
"866","10","10","10"
"917","10","10","10"
"968","10","10","10"
"1019","10","10","10"
"1070","10","10","10"
"1121","10","10","10"
"1172","10","10","10"
"1223","10","10","10"
"1274","10","10","10"
"1375","20","20","20"
"1476","20","20","20"
"1577","20","20","20"
"1678","20","20","20"
"1779","20","20","20"
"1880","20","20","20"
"1981","20","20","20"
"2082","20","20","20"
"2183","20","20","20"
"2284","20","20","20"
"2385","20","20","20"
"2486","20","20","20"
"2587","20","20","20"
"2688","20","20","20"
"2789","20","20","20"
"2890","20","20","20"
"2991","20","20","20"
"3092","20","20","20"
"3193","20","20","20"
"3294","20","20","20"
"3495","40","40","40"
"3696","40","40","40"
"3897","40","40","40"
"4098","40","40","40"
"4299","40","40","40"
"4500","40","40","40"
"4701","40","40","40"
"4902","40","40","40"
"5103","40","40","40"
"5304","40","40","40"
"5505","40","40","40"
"5706","40","40","40"
"5907","40","40","40"
"6108","40","40","40"
"6309","40","40","40"
"6510","40","40","40"
"6711","40","40","40"
"6912","40","40","40"
"7113","40","40","40"
"7314","40","40","40"
"7615","60","60","60"
"7916","60","60","60"
"8217","60","60","60"
"8518","60","60","60"
"8819","60","60","60"
"9120","60","60","60"
"9421","60","60","60"
"9722","60","60","60"
"10023","60","60","60"
"10324","60","60","60"
"10625","60","60","60"
"10926","60","60","60"
"11227","60","60","60"
"11528","60","60","60"
"11829","60","60","60"
"12130","60","60","60"
"12431","60","60","60"
"12732","60","60","60"
"13033","60","60","60"
"13334","60","60","60"
"13635","60","60","60"
"14036","80","80","80"
"14437","80","80","80"
"14838","80","80","80"
"15239","80","80","80"
"15640","80","80","80"
"16041","80","80","80"
"16442","80","80","80"
"16843","80","80","80"
"17244","80","80","80"
"17645","80","80","80"
"18046","80","80","80"
"18447","80","80","80"
"18848","80","80","80"
"19249","80","80","80"
"19650","80","80","80"
"20051","80","80","80"
"20452","80","80","80"
"20853","80","80","80"
"21254","80","80","80"
"21655","80","80","80"
"22156","100","100","100"
"22657","100","100","100"
"23158","100","100","100"
"23659","100","100","100"
"24160","100","100","100"
"24661","100","100","100"
"25162","100","100","100"
"25663","100","100","100"
"26164","100","100","100"
"26665","100","100","100"
"27166","100","100","100"
"27667","100","100","100"
"28168","100","100","100"
"28669","100","100","100"
"29170","100","100","100"
"29671","100","100","100"
"30172","100","100","100"
"30673","100","100","100"
"31174","100","100","100"
"31675","100","100","100"
"32276","120","120","120"
"32877","120","120","120"
"33478","120","120","120"
"34079","120","120","120"
"34680","120","120","120"
"35281","120","120","120"
"35882","120","120","120"
"36483","120","120","120"
"37084","120","120","120"
"37685","120","120","120"
"38286","120","120","120"
"38887","120","120","120"
"39488","120","120","120"
"40089","120","120","120"
"40690","120","120","120"
"41291","120","120","120"
"41892","120","120","120"
"42493","120","120","120"
"43094","120","120","120"
"43695","120","120","120"