"Step","flowing-butterfly-4 - Final Train Loss","flowing-butterfly-4 - Final Train Loss__MIN","flowing-butterfly-4 - Final Train Loss__MAX"
"50","0.7860837269108585","0.7860837269108585","0.7860837269108585"
"101","2.2190039579241523","2.2190039579241523","2.2190039579241523"
"152","-0.5755492905685029","-0.5755492905685029","-0.5755492905685029"
"203","-0.4303788507847863","-0.4303788507847863","-0.4303788507847863"
"254","-2.2733989843725237","-2.2733989843725237","-2.2733989843725237"
"305","-2.611834716628159","-2.611834716628159","-2.611834716628159"
"356","-0.9982051510950714","-0.9982051510950714","-0.9982051510950714"
"407","-2.247082717729127","-2.247082717729127","-2.247082717729127"
"458","-1.5579122642093393","-1.5579122642093393","-1.5579122642093393"
"509","-1.7745325011266373","-1.7745325011266373","-1.7745325011266373"
"560","-3.0746728578015157","-3.0746728578015157","-3.0746728578015157"
"611","-2.8266662838078314","-2.8266662838078314","-2.8266662838078314"
"662","-3.376649120995999","-3.376649120995999","-3.376649120995999"
"713","-3.2754108259542716","-3.2754108259542716","-3.2754108259542716"
"764","-3.165686351073558","-3.165686351073558","-3.165686351073558"
"815","-2.3500535601225407","-2.3500535601225407","-2.3500535601225407"
"866","-3.143167222732676","-3.143167222732676","-3.143167222732676"
"917","-3.247904445241287","-3.247904445241287","-3.247904445241287"
"968","-2.305889901455895","-2.305889901455895","-2.305889901455895"
"1019","-2.5573716960541844","-2.5573716960541844","-2.5573716960541844"
"1070","-1.7896959139559732","-1.7896959139559732","-1.7896959139559732"
"1121","-3.8448781066577147","-3.8448781066577147","-3.8448781066577147"
"1172","-2.1418466228314403","-2.1418466228314403","-2.1418466228314403"
"1223","-3.6908014985687934","-3.6908014985687934","-3.6908014985687934"
"1274","-3.940742754696601","-3.940742754696601","-3.940742754696601"
"1375","-0.8301217534675343","-0.8301217534675343","-0.8301217534675343"
"1476","-3.612207237038118","-3.612207237038118","-3.612207237038118"
"1577","-3.745081076885801","-3.745081076885801","-3.745081076885801"
"1678","-4.274170234736115","-4.274170234736115","-4.274170234736115"
"1779","-3.9352978763547752","-3.9352978763547752","-3.9352978763547752"
"1880","-4.20574165862811","-4.20574165862811","-4.20574165862811"
"1981","-3.8293156026489203","-3.8293156026489203","-3.8293156026489203"
"2082","-4.0382406219467075","-4.0382406219467075","-4.0382406219467075"
"2183","-4.413173587242677","-4.413173587242677","-4.413173587242677"
"2284","-3.9176103507288484","-3.9176103507288484","-3.9176103507288484"
"2385","-4.1944273734789554","-4.1944273734789554","-4.1944273734789554"
"2486","-4.440675154011442","-4.440675154011442","-4.440675154011442"
"2587","-3.1799504392568703","-3.1799504392568703","-3.1799504392568703"
"2688","-3.5392545446983097","-3.5392545446983097","-3.5392545446983097"
"2789","-4.32440707156633","-4.32440707156633","-4.32440707156633"
"2890","-2.6973725702513365","-2.6973725702513365","-2.6973725702513365"
"2991","-3.034517246886599","-3.034517246886599","-3.034517246886599"
"3092","-3.520497742857889","-3.520497742857889","-3.520497742857889"
"3193","-4.325397313266684","-4.325397313266684","-4.325397313266684"
"3294","-4.023036262752156","-4.023036262752156","-4.023036262752156"
"3495","-4.616200282885687","-4.616200282885687","-4.616200282885687"
"3696","-3.9722258050082533","-3.9722258050082533","-3.9722258050082533"
"3897","-4.242806534290534","-4.242806534290534","-4.242806534290534"
"4098","-3.949501980518355","-3.949501980518355","-3.949501980518355"
"4299","-4.1485528508728775","-4.1485528508728775","-4.1485528508728775"
"4500","-4.455260553409714","-4.455260553409714","-4.455260553409714"
"4701","-4.128829244910675","-4.128829244910675","-4.128829244910675"
"4902","-4.426466464452034","-4.426466464452034","-4.426466464452034"
"5103","-4.186413243979254","-4.186413243979254","-4.186413243979254"
"5304","-3.7128871999146136","-3.7128871999146136","-3.7128871999146136"
"5505","-2.8455965924380138","-2.8455965924380138","-2.8455965924380138"
"5706","-4.49367611914698","-4.49367611914698","-4.49367611914698"
"5907","-4.54683217204316","-4.54683217204316","-4.54683217204316"
"6108","-3.520023126305201","-3.520023126305201","-3.520023126305201"
"6309","-4.6835446168219494","-4.6835446168219494","-4.6835446168219494"
"6510","-4.713073147474863","-4.713073147474863","-4.713073147474863"
"6711","-3.679745993407947","-3.679745993407947","-3.679745993407947"
"6912","-4.300951367475647","-4.300951367475647","-4.300951367475647"
"7113","-4.551248871930976","-4.551248871930976","-4.551248871930976"
"7314","-4.580460894976277","-4.580460894976277","-4.580460894976277"
"7615","-4.595697957836038","-4.595697957836038","-4.595697957836038"
"7916","-4.413512206304281","-4.413512206304281","-4.413512206304281"
"8217","-4.47514114189778","-4.47514114189778","-4.47514114189778"
"8518","-4.218818606312471","-4.218818606312471","-4.218818606312471"
"8819","-4.75526758403169","-4.75526758403169","-4.75526758403169"
"9120","-3.927726257399761","-3.927726257399761","-3.927726257399761"
"9421","-4.487519697557447","-4.487519697557447","-4.487519697557447"
"9722","-4.566241426988507","-4.566241426988507","-4.566241426988507"
"10023","-4.682068613849932","-4.682068613849932","-4.682068613849932"
"10324","-4.638505572993028","-4.638505572993028","-4.638505572993028"
"10625","-4.426335845277416","-4.426335845277416","-4.426335845277416"
"10926","-4.63320100104401","-4.63320100104401","-4.63320100104401"
"11227","-4.865054156801865","-4.865054156801865","-4.865054156801865"
"11528","-4.8968529359714745","-4.8968529359714745","-4.8968529359714745"
"11829","-4.241941175976637","-4.241941175976637","-4.241941175976637"
"12130","-4.150993931252089","-4.150993931252089","-4.150993931252089"
"12431","-4.388534623048662","-4.388534623048662","-4.388534623048662"
"12732","-4.673147646676576","-4.673147646676576","-4.673147646676576"
"13033","-4.212660650426244","-4.212660650426244","-4.212660650426244"
"13334","-4.6550260151687235","-4.6550260151687235","-4.6550260151687235"
"13635","-4.720720440002859","-4.720720440002859","-4.720720440002859"
"14036","-4.222230959301629","-4.222230959301629","-4.222230959301629"
"14437","-4.641032717962102","-4.641032717962102","-4.641032717962102"
"14838","-4.777909316043406","-4.777909316043406","-4.777909316043406"
"15239","-4.2091838953784775","-4.2091838953784775","-4.2091838953784775"
"15640","-4.460661701070255","-4.460661701070255","-4.460661701070255"
"16041","-4.198532634619672","-4.198532634619672","-4.198532634619672"
"16442","-4.706151651462176","-4.706151651462176","-4.706151651462176"
"16843","-4.7116102913416995","-4.7116102913416995","-4.7116102913416995"
"17244","-4.349433981282485","-4.349433981282485","-4.349433981282485"
"17645","-4.539206519429071","-4.539206519429071","-4.539206519429071"
"18046","-4.487003418230561","-4.487003418230561","-4.487003418230561"
"18447","-4.220273381646264","-4.220273381646264","-4.220273381646264"
"18848","-4.562126662958026","-4.562126662958026","-4.562126662958026"
"19249","-4.668108007433998","-4.668108007433998","-4.668108007433998"
"19650","-4.651507451184383","-4.651507451184383","-4.651507451184383"
"20051","-4.4097856744289645","-4.4097856744289645","-4.4097856744289645"
"20452","-4.193014985755476","-4.193014985755476","-4.193014985755476"
"20853","-4.56078116526197","-4.56078116526197","-4.56078116526197"
"21254","-4.656585804427582","-4.656585804427582","-4.656585804427582"
"21655","-4.66849808335351","-4.66849808335351","-4.66849808335351"
"22156","-4.718610988108787","-4.718610988108787","-4.718610988108787"
"22657","-4.551655100933323","-4.551655100933323","-4.551655100933323"
"23158","-4.70989974402217","-4.70989974402217","-4.70989974402217"
"23659","-4.4175888182359095","-4.4175888182359095","-4.4175888182359095"
"24160","-4.924005254183747","-4.924005254183747","-4.924005254183747"
"24661","-4.488246383172533","-4.488246383172533","-4.488246383172533"
"25162","-4.78817580707057","-4.78817580707057","-4.78817580707057"
"25663","-4.864357971319253","-4.864357971319253","-4.864357971319253"
"26164","-4.447198406014697","-4.447198406014697","-4.447198406014697"
"26665","-4.395315682799955","-4.395315682799955","-4.395315682799955"
"27166","-4.724140572824989","-4.724140572824989","-4.724140572824989"
"27667","-4.174650871639269","-4.174650871639269","-4.174650871639269"
"28168","-3.5206600226186557","-3.5206600226186557","-3.5206600226186557"
"28669","-4.588821915310877","-4.588821915310877","-4.588821915310877"
"29170","-4.607319438868997","-4.607319438868997","-4.607319438868997"
"29671","-3.998885078244893","-3.998885078244893","-3.998885078244893"
"30172","-4.178648912848279","-4.178648912848279","-4.178648912848279"
"30673","-4.128331385014486","-4.128331385014486","-4.128331385014486"
"31174","-4.223275979279846","-4.223275979279846","-4.223275979279846"
"31675","-4.4360371756413635","-4.4360371756413635","-4.4360371756413635"
"32276","-4.739404977068687","-4.739404977068687","-4.739404977068687"
"32877","-4.700036911809289","-4.700036911809289","-4.700036911809289"
"33478","-4.395488739852631","-4.395488739852631","-4.395488739852631"
"34079","-4.299285442214472","-4.299285442214472","-4.299285442214472"
"34680","-4.358363837167824","-4.358363837167824","-4.358363837167824"
"35281","-4.730449842350718","-4.730449842350718","-4.730449842350718"
"35882","-4.676511582578307","-4.676511582578307","-4.676511582578307"
"36483","-4.702778921201336","-4.702778921201336","-4.702778921201336"
"37084","-4.641103720468443","-4.641103720468443","-4.641103720468443"
"37685","-4.220930828300358","-4.220930828300358","-4.220930828300358"
"38286","-4.228334797720592","-4.228334797720592","-4.228334797720592"
"38887","-4.443722236128801","-4.443722236128801","-4.443722236128801"
"39488","-4.509383811129838","-4.509383811129838","-4.509383811129838"
"40089","-4.829001184378237","-4.829001184378237","-4.829001184378237"
"40690","-4.578437868503247","-4.578437868503247","-4.578437868503247"
"41291","-4.177514750724464","-4.177514750724464","-4.177514750724464"
"41892","-4.15719251820746","-4.15719251820746","-4.15719251820746"
"42493","-4.875910765825192","-4.875910765825192","-4.875910765825192"
"43094","-4.8092434536881035","-4.8092434536881035","-4.8092434536881035"
"43695","-4.422472243089933","-4.422472243089933","-4.422472243089933"