"Step","winter-lion-1 - Final Train Loss","winter-lion-1 - Final Train Loss__MIN","winter-lion-1 - Final Train Loss__MAX"
"50","-0.09574168845899317","-0.09574168845899317","-0.09574168845899317"
"101","-0.06102618877429758","-0.06102618877429758","-0.06102618877429758"
"152","0.5286885413917395","0.5286885413917395","0.5286885413917395"
"203","-0.1967548651593413","-0.1967548651593413","-0.1967548651593413"
"254","-0.2253275563556572","-0.2253275563556572","-0.2253275563556572"
"305","-0.18379454221813765","-0.18379454221813765","-0.18379454221813765"
"356","-0.5356811050296849","-0.5356811050296849","-0.5356811050296849"
"407","-0.4957841190066117","-0.4957841190066117","-0.4957841190066117"
"458","-0.7173292418307493","-0.7173292418307493","-0.7173292418307493"
"509","-0.9612841347754486","-0.9612841347754486","-0.9612841347754486"
"560","-0.9132782639530976","-0.9132782639530976","-0.9132782639530976"
"611","-0.7156554309509474","-0.7156554309509474","-0.7156554309509474"
"662","-0.7441321710510749","-0.7441321710510749","-0.7441321710510749"
"713","-0.8093329947056682","-0.8093329947056682","-0.8093329947056682"
"764","-0.9278380006391759","-0.9278380006391759","-0.9278380006391759"
"815","0.20590681866608018","0.20590681866608018","0.20590681866608018"
"866","-0.7792027043185557","-0.7792027043185557","-0.7792027043185557"
"917","-0.39650869374030356","-0.39650869374030356","-0.39650869374030356"
"968","-0.393714792041909","-0.393714792041909","-0.393714792041909"
"1019","-0.08213581353524041","-0.08213581353524041","-0.08213581353524041"
"1070","-0.5096412342531671","-0.5096412342531671","-0.5096412342531671"
"1171","-0.7820253018489669","-0.7820253018489669","-0.7820253018489669"
"1272","-0.8577411654885627","-0.8577411654885627","-0.8577411654885627"
"1373","-0.8865376880761666","-0.8865376880761666","-0.8865376880761666"
"1474","-0.915531865237676","-0.915531865237676","-0.915531865237676"
"1575","-0.9528897727463361","-0.9528897727463361","-0.9528897727463361"
"1676","-0.9274310260327044","-0.9274310260327044","-0.9274310260327044"
"1777","-0.9754535684581288","-0.9754535684581288","-0.9754535684581288"
"1878","-0.9727138843395473","-0.9727138843395473","-0.9727138843395473"
"1979","-0.943305233227826","-0.943305233227826","-0.943305233227826"
"2080","-0.9688686384856025","-0.9688686384856025","-0.9688686384856025"
"2181","-0.9429396168217286","-0.9429396168217286","-0.9429396168217286"
"2282","-0.9616884033160157","-0.9616884033160157","-0.9616884033160157"
"2383","-0.9587479597564962","-0.9587479597564962","-0.9587479597564962"
"2484","-0.9299971824881335","-0.9299971824881335","-0.9299971824881335"
"2585","-0.9175036644186747","-0.9175036644186747","-0.9175036644186747"
"2686","-0.9212676275623356","-0.9212676275623356","-0.9212676275623356"
"2787","-0.9920946467705037","-0.9920946467705037","-0.9920946467705037"
"2888","-0.9708125001544656","-0.9708125001544656","-0.9708125001544656"
"2989","-0.979330464082381","-0.979330464082381","-0.979330464082381"
"3090","-0.9460188222275447","-0.9460188222275447","-0.9460188222275447"
"3341","-0.9749115227876954","-0.9749115227876954","-0.9749115227876954"
"3592","-0.9712941266255886","-0.9712941266255886","-0.9712941266255886"
"3843","-0.9862040417797682","-0.9862040417797682","-0.9862040417797682"
"4094","-0.9959992136806745","-0.9959992136806745","-0.9959992136806745"
"4345","-0.9947416012014761","-0.9947416012014761","-0.9947416012014761"
"4596","-0.994247233851134","-0.994247233851134","-0.994247233851134"
"4847","-0.9957214159539869","-0.9957214159539869","-0.9957214159539869"
"5098","-0.9924208208306973","-0.9924208208306973","-0.9924208208306973"
"5349","-0.9977696326408927","-0.9977696326408927","-0.9977696326408927"
"5600","-0.995080318730327","-0.995080318730327","-0.995080318730327"
"5851","-0.9946542304672118","-0.9946542304672118","-0.9946542304672118"
"6102","-0.9972054450473125","-0.9972054450473125","-0.9972054450473125"
"6353","-0.9973798099530852","-0.9973798099530852","-0.9973798099530852"
"6604","-0.9984640464676262","-0.9984640464676262","-0.9984640464676262"
"6855","-0.9999000399420347","-0.9999000399420347","-0.9999000399420347"
"7106","-0.9998295023650887","-0.9998295023650887","-0.9998295023650887"
"7357","-0.9998368600035922","-0.9998368600035922","-0.9998368600035922"
"7608","-0.9998338824374522","-0.9998338824374522","-0.9998338824374522"
"7859","-0.999737799194647","-0.999737799194647","-0.999737799194647"
"8110","-0.9999001390408515","-0.9999001390408515","-0.9999001390408515"
"8511","-0.9998331385561241","-0.9998331385561241","-0.9998331385561241"
"8912","-0.9993796994458607","-0.9993796994458607","-0.9993796994458607"
"9313","-0.9998135278077392","-0.9998135278077392","-0.9998135278077392"
"9714","-0.9998903492232887","-0.9998903492232887","-0.9998903492232887"
"10115","-0.9991633346044542","-0.9991633346044542","-0.9991633346044542"
"10516","-0.9997815445581375","-0.9997815445581375","-0.9997815445581375"
"10917","-0.9996023167616099","-0.9996023167616099","-0.9996023167616099"
"11318","-0.9997679849401196","-0.9997679849401196","-0.9997679849401196"
"11719","-0.9996538893917206","-0.9996538893917206","-0.9996538893917206"
"12120","-0.99982823397916","-0.99982823397916","-0.99982823397916"
"12521","-0.9998331653456064","-0.9998331653456064","-0.9998331653456064"
"12922","-0.9997916918890566","-0.9997916918890566","-0.9997916918890566"
"13323","-0.9999821176729582","-0.9999821176729582","-0.9999821176729582"
"13724","-0.9998081205962777","-0.9998081205962777","-0.9998081205962777"
"14125","-0.9999221633708428","-0.9999221633708428","-0.9999221633708428"
"14526","-0.9999258764752401","-0.9999258764752401","-0.9999258764752401"
"14927","-0.9998308881958627","-0.9998308881958627","-0.9998308881958627"
"15328","-0.9997703913199928","-0.9997703913199928","-0.9997703913199928"
"15729","-0.999320621747228","-0.999320621747228","-0.999320621747228"
"16130","-0.9998627001428293","-0.9998627001428293","-0.9998627001428293"
"16731","-0.9998326455929311","-0.9998326455929311","-0.9998326455929311"
"17332","-0.9998818484482643","-0.9998818484482643","-0.9998818484482643"
"17933","-0.9998967301492085","-0.9998967301492085","-0.9998967301492085"
"18534","-0.9998835577802019","-0.9998835577802019","-0.9998835577802019"
"19135","-0.9998547491237815","-0.9998547491237815","-0.9998547491237815"
"19736","-0.9999073311450877","-0.9999073311450877","-0.9999073311450877"
"20337","-0.9999643613151575","-0.9999643613151575","-0.9999643613151575"
"20938","-0.9999396541099119","-0.9999396541099119","-0.9999396541099119"
"21539","-0.9999375802538637","-0.9999375802538637","-0.9999375802538637"
"22140","-0.9998999797173118","-0.9998999797173118","-0.9998999797173118"
"22741","-0.9999288819148838","-0.9999288819148838","-0.9999288819148838"
"23342","-0.9999552656549446","-0.9999552656549446","-0.9999552656549446"
"23943","-0.9998501588923304","-0.9998501588923304","-0.9998501588923304"
"24544","-0.9998940405121381","-0.9998940405121381","-0.9998940405121381"
"25145","-0.9996086943350767","-0.9996086943350767","-0.9996086943350767"
"25746","-0.9997355699795275","-0.9997355699795275","-0.9997355699795275"
"26347","-0.9997694208471755","-0.9997694208471755","-0.9997694208471755"
"26948","-0.9997892917435497","-0.9997892917435497","-0.9997892917435497"
"27549","-0.9999552989006439","-0.9999552989006439","-0.9999552989006439"
"28150","-0.9999465309506722","-0.9999465309506722","-0.9999465309506722"